,NameCorp,Cusip6,Cusip9
605,Laroche Industries Inc.,517289,948
606,"Lason, Inc.",51808R,206
607,Leap Wireless International Inc.,521863,308
608,Lear Corporation,521865,204
609,"Leasing Solutions, Inc.",521098,202
610,"Lee Enterprises, Incorporated",523768,109
611,Legacy Reserves Inc.,524706,108
612,Lehman Brothers Holdings Inc.,524908,100
613,"Leiner Health Products, Inc. (2002)",52536P,934
614,"Leiner Health Products, Inc. (2008)",52536P,934
615,Leisure Technology Inc.,525914,107
616,"Lenox Group, Inc.",526262,100
617,Lernout & Hauspie Speech Products NV,B5628B,104
618,"Leslie Fay Companies, Inc.",527016,109
619,Levitz Furniture Incorporated,527482,103
620,Libbey Inc.,529898,108
621,Liberate Technologies,530129,204
622,Linens Holding Co.,535679,104
623,"Linn Energy, LLC",536020,100
624,Lionel Corp. (1982),536257,108
625,Lionel Corp. (1991),536257,108
626,Live Entertainment Inc.,538032,400
627,LodgeNet Interactive Corporation,540211,109
628,"Lodgian, Inc.",54021P,403
629,"Loewen Group, Inc.",014383,103
630,Loews Cineplex Entertainment Corp,540423,100
631,Logix Communications Enterprises Inc.,541424,933
632,Lomas Financial Corp. (1989),541535,100
633,Lomas Financial Corp. (1995),541535,100
634,Lone Star Industries Inc.,542290,408
635,Lonestar Resources US Inc.,54240F,103
636,"LRI Holdings, Inc.",50399Z,932
637,"LSC Communications, Inc.",50218P,107
638,LTV Corp. (1986),501921,100
639,LTV Corp. (2000),501921,100
640,"Luminent Mortgage Capital, Inc.",550278,303
641,Lyondell Chemical Company,552078,107
642,Magellan Health Services Inc.,559079,207
643,Magna Entertainment Corp.,559211,305
644,MagnaChip Semiconductor LLC,55933J,203
645,Magnum Hunter Resources Corporation,55973B,102
646,Majestic Capital Ltd.,G5760D,111
647,"Majestic Star Casino, LLC",56075N,937
648,Mallinckrodt plc,G5785G,107
649,Manville Corp.,478129,109
650,"marchFIRST, Inc.",566244,109
651,"Mariner Post-Acute Network, Inc.",56845X,108
652,Marion Corp.,568695,209
653,"Marvel Entertainment Group, Inc.",573913,100
